make,model,mileage_mi,manufacture_year,engine_displacement,engine_power,body_type,transmission,door_count,seat_count,fuel_type,priceUSD,country,exterior_color,city
renault,megane,78246,2005,1461,63,other,M,5,5,,3240,EU,NA,NA
opel,vectra,60492.852,2005,1796,90,other,M,5,5,,7938.000000000001,EU,NA,NA
peugeot,3008,68310,2011,1997,110,other,M,5,5,,12420,EU,NA,NA
ford,focus,110475.9,2004,1388,55,,M,2,5,gasoline,2159.7192,EU,NA,NA
volkswagen,jetta,106414.56,2012,1598,77,sedan,A,4,5,diesel,1398.9672,EU,NA,NA
ford,galaxy,150282,2005,1900,96,other,A,,NA,,1398.9672,EU,NA,NA
ford,focus,106191,1998,1400,55,,M,4,5,gasoline,1512.4428000000003,EU,NA,NA
hyundai,i20,33698.565,2013,1248,63,,M,4,NA,gasoline,6763.392,EU,NA,NA
ford,mondeo,13599.9,2015,1998,132,,M,None,NA,diesel,26691.9084,EU,NA,NA
chrysler,pt-cruiser,104949,2002,1998,104,stationwagon,M,5,5,gasoline,1398.9672,EU,NA,NA
mini,cooper,64207.053,2004,1598,85,,M,2,4,gasoline,5399.3196,EU,NA,NA
renault,clio,105016.689,2002,1100,43,coupe,M,5,5,gasoline,1398.9672,EU,NA,NA
volkswagen,golf-sportsvan,8309.601,2014,1598,81,other,M,4,5,,16248.967200000001,EU,NA,NA
audi,coupe,16416.135,2015,1984,169,other,A,2,NA,,40910.4,EU,NA,NA
renault,master,137241,1999,2499,59,other,M,5,9,,3013.2000000000003,EU,NA,NA
hyundai,i10,2142.45,2014,998,49,,M,4,5,gasoline,9069.602400000002,EU,NA,NA
mini,cooper,15752.286,2014,1598,82,other,M,5,4,,22626,EU,NA,NA
lexus,gs-300,132583.5,1998,2997,163,sedan,A,4,5,gasoline,1398.9672,EU,NA,NA
bmw,z4,71290.8,2007,2497,130,,A,2,2,gasoline,13337.524800000001,EU,NA,NA
skoda,superb,88442.199,2008,1900,77,,M,5,5,diesel,9992.6028,EU,NA,NA
skoda,fabia,6.21,2015,1197,81,other,A,5,NA,,16189.2,EU,NA,NA
audi,a3,36912.24,2013,1197,77,other,A,5,5,,22140,EU,NA,NA
volkswagen,golf,70980.3,2010,1598,77,other,M,5,5,,9180,EU,NA,NA
hyundai,i30,14562.45,2014,1396,73,,M,4,5,gasoline,11696.8104,EU,NA,NA
audi,a4,141588,2008,1968,100,,M,5,5,diesel,9552.923999999999,EU,NA,NA
jeep,grand-cherokee,73312.776,2005,4701,190,offroad,A,5,5,lpg,1398.9672,EU,NA,NA
hyundai,i30,51557.283,2010,1396,80,other,M,5,5,,8856,EU,NA,NA
ford,galaxy,168415.2,2001,1896,85,van,M,,NA,diesel,1398.9672,EU,NA,NA
seat,altea,71415,2008,1595,75,other,M,4,5,,6784.657200000001,EU,NA,NA
audi,a6,16724.772,2015,2967,160,,A,4,5,diesel,39924.7488,EU,NA,NA
mitsubishi,space,7371.2699999999995,2013,1193,59,other,M,4,NA,,10707.0336,EU,NA,NA
jeep,renegade,63528.3,1985,4181,82,other,A,2,2,,19980,EU,NA,NA
volkswagen,up,3990.546,2015,999,44,other,M,4,5,,8880.9048,EU,NA,NA
skoda,fabia,77710.077,2008,1400,59,other,M,5,5,,5715.7704,EU,NA,NA
audi,90,14368.077,2013,1598,67,other,M,5,4,,18349.2,EU,NA,NA
skoda,fabia,40986,2010,1198,51,other,M,4,5,,6696,EU,NA,NA
volkswagen,jetta,169533,2006,1896,77,other,M,4,5,,3957.0660000000003,EU,NA,NA
citroen,c4-picasso,55039.851,2008,1560,80,other,M,5,5,,10692,EU,NA,NA
chevrolet,matiz,86940,2008,995,49,other,M,4,5,,1933.2,EU,NA,NA
suzuki,grand-vitara,42849,2011,1586,78,other,M,3,4,,11772,EU,NA,NA
volkswagen,golf,6458.4,2014,1968,103,other,M,2,5,,27961.2,EU,NA,NA
